Background Color,Text Color,Color Code,Color Class,Color Category
6,6,66,Error,Unusable
6,7,67,Marginal,
6,8,68,Marginal,Hide
6,9,69,Good,
6,A,6A,Solid,
6,B,6B,Marginal,
6,C,6C,Marginal,
6,D,6D,Good,
6,E,6E,Best,
6,F,6F,Best,
7,0,70,Best,
7,1,71,Best,
7,2,72,Best,
7,3,73,Best,
7,4,74,Best,
7,5,75,Best,
7,6,76,Good,
7,7,77,Error,Unusable
7,8,78,Good,
7,9,79,Best,
7,A,7A,Good,
7,B,7B,Marginal,
7,C,7C,Best,
7,D,7D,Good,
7,E,7E,Good,
7,F,7F,Good,
8,0,80,Best,
8,1,81,Best,
8,2,82,Marginal,
8,3,83,Marginal,
8,4,84,Solid,
8,5,85,Marginal,
8,6,86,Best,Hide
8,7,87,Best,
8,8,88,Error,Unusable
8,9,89,Solid,
8,A,8A,Good,
8,B,8B,Best,
8,C,8C,Marginal,
8,D,8D,Marginal,
8,E,8E,Best,
8,F,8F,Best,
9,0,90,Good,
9,1,91,Marginal,
9,2,92,Solid,
9,3,93,Solid,
9,4,94,Solid,Hide
9,5,95,Marginal,Hide
9,6,96,Good,
9,7,97,Best,
9,8,98,Solid,
9,9,99,Error,Unusable
9,A,9A,Good,
9,B,9B,Best,
9,C,9C,Marginal,
9,D,9D,Marginal,
9,E,9E,Best,
9,F,9F,Best,
A,0,A0,Best,
A,1,A1,Best,
A,2,A2,Marginal,
A,3,A3,Marginal,
A,4,A4,Marginal,
A,5,A5,Good,
A,6,A6,Solid,
A,7,A7,Marginal,
A,8,A8,Marginal,
A,9,A9,Marginal,
A,A,AA,Error,Unusable
A,B,AB,Marginal,Hide
A,C,AC,Marginal,
A,D,AD,Marginal,
A,E,AE,Good,
A,F,AF,Best,
B,0,B0,Best,
B,1,B1,Good,
B,2,B2,Marginal,
B,3,B3,Marginal,
B,4,B4,Good,
B,5,B5,Good,
B,6,B6,Marginal,
B,7,B7,Solid,
B,8,B8,Good,
B,9,B9,Good,
B,A,BA,Marginal,Hide
B,B,BB,Error,Unusable
B,C,BC,Marginal,
B,D,BD,Good,
B,E,BE,Good,
B,F,BF,Good,
C,0,C0,Best,
C,1,C1,Good,
C,2,C2,Marginal,
C,3,C3,Marginal,
C,4,C4,Marginal,
C,5,C5,Marginal,
C,6,C6,Solid,
C,7,C7,Good,
C,8,C8,Marginal,
C,9,C9,Good,
C,A,CA,Marginal,
C,B,CB,Marginal,
C,C,CC,Error,Unusable
C,D,CD,Solid,Hide
C,E,CE,Good,
C,F,CF,Best,
D,0,D0,Good,
D,1,D1,Marginal,
D,2,D2,Solid,
D,3,D3,Solid,
D,4,D4,Solid,
D,5,D5,Marginal,
D,6,D6,Good,
D,7,D7,Best,
D,8,D8,Solid,
D,9,D9,Marginal,
D,A,DA,Marginal,
D,B,DB,Good,
D,C,DC,Marginal,Hide
D,D,DD,Error,Unusable
D,E,DE,Best,
D,F,DF,Best,
E,0,E0,Best,
E,1,E1,Best,
E,2,E2,Good,
E,3,E3,Good,
E,4,E4,Best,
E,5,E5,Best,
E,6,E6,Marginal,
E,7,E7,Marginal,
E,8,E8,Good,
E,9,E9,Good,
E,A,EA,Good,
E,B,EB,Marginal,
E,C,EC,Good,
E,D,ED,Good,
E,E,EE,Error,Unusable
E,F,EF,Solid,Hide
F,0,F0,Best,
F,1,F1,Best,
F,2,F2,Best,
F,3,F3,Best,
F,4,F4,Best,
F,5,F5,Best,
F,6,F6,Good,
F,7,F7,Marginal,
F,8,F8,Best,
F,9,F9,Best,
F,A,FA,Good,
F,B,FB,Marginal,
F,C,FC,Best,
F,D,FD,Best,
F,E,FE,Solid,Hide
F,F,FF,Error,Unusable
